epid,country,first_name,last_name,birthdate,gender,eugroup
96903,PT,Paulo,RANGEL,1968-02-18,M,PPE
96686,FI,Mitro,REPO,1958-09-03,M,S&D
97022,FR,Robert,ROCHEFORT,1955-09-19,M,ALDE
96746,FR,Marie-Thérèse,SANCHEZ-SCHMID,1957-11-15,F,PPE
96676,SE,Christian,ENGSTRÖM,1960-02-09,M,Verts/ALE
112611,FI,Petri,SARVAMAA,1960-09-15,M,PPE
30482,FR,Younous,OMARJEE,1969-09-30,M,GUE/NGL
111068,FR,Jean,ROATTA,1941-12-13,M,PPE
96992,IT,Magdi Cristiano,ALLAM,1952-04-22,M,EFD
111496,ES,María Auxiliadora,CORREA ZAMORA,1972-05-24,F,PPE
112788,DE,Birgit,COLLIN-LANGEN,1956-09-04,F,PPE
96744,FR,José,BOVÉ,1953-06-11,M,Verts/ALE
114279,FR,Isabelle,THOMAS,1961-11-26,F,S&D
113890,FR,Karim,ZÉRIBI,1966-09-25,M,Verts/ALE
113597,RO,Minodora,CLIVETI,1955-10-24,F,S&D
113883,HU,Erik,BÁNKI,1970-05-26,M,PPE
113892,FR,Eric,ANDRIEU,1960-04-14,M,S&D
96947,FR,Nora,BERRA,1963-01-21,F,PPE
113891,FR,Jean-Jacob,BICEP,1965-06-23,M,Verts/ALE
114268,FI,Nils,TORVALDS,1945-08-07,M,ALDE
114873,CZ,Vojtěch,MYNÁŘ,1944-05-04,M,S&D
96959,GB,George,LYON,1956-07-16,M,ALDE
116663,BG,Monika,PANAYOTOVA,1983-08-19,F,PPE
99419,GR,Charalampos,ANGOURAKIS,1951-01-19,M,GUE/NGL
115868,NL,Patricia van der,KAMMEN,1972-04-08,F,Array
111017,ES,Dolores,GARCÍA-HIERRO CARABALLO,1958-05-16,F,S&D
96860,FR,Michèle,STRIFFLER,1957-08-23,F,PPE
116823,IT,Francesca,BARRACCIU,1966-06-11,F,S&D
113959,GB,Martina,ANDERSON,1962-04-16,F,GUE/NGL
96702,RO,Elena Oana,ANTONESCU,1979-12-30,F,PPE
116816,BG,Preslav,BORISSOV,1977-03-07,M,PPE
94283,GB,Trevor,COLMAN,1941-08-27,M,Array
96726,NL,Marije,CORNELISSEN,1974-03-09,F,Verts/ALE
96868,FR,Karima,DELLI,1979-03-04,F,Verts/ALE
117477,BE,Mark,DEMESMAEKER,1958-09-12,M,Verts/ALE
96725,NL,Bas,EICKHOUT,1976-10-08,M,Verts/ALE
96745,FR,Catherine,GRÈZE,1960-04-15,F,Verts/ALE
96648,BE,Philippe,LAMBERTS,1963-03-14,M,Verts/ALE
118144,CY,Andreas,PITSILLIDES,1977-06-09,M,PPE
113487,PT,Alda,SOUSA,1953-08-04,F,GUE/NGL
118710,IT,Franco,BONANINI,1952-11-07,M,Array
111014,AT,Josef,WEIDENHOLZER,1950-03-06,M,S&D
118708,IT,Susy,DE MARTINI,1952-06-17,F,ECR
103246,NL,Auke,ZIJLSTRA,1964-11-01,M,Array
119439,HR,Marino,BALDINI,1963-07-12,M,S&D
28497,GB,Gerard,BATTEN,1954-03-27,M,EFD
28336,CZ,Věra,FLASAROVÁ,1952-12-19,F,GUE/NGL
37448,RO,Eduard-Raul,HELLVIG,1974-10-27,M,ALDE
96704,CZ,Edvard,KOŽUŠNÍK,1971-01-30,M,ECR
119441,HR,Sandra,PETROVIĆ JAKOVINA,1985-03-21,F,S&D
33991,RO,Ovidiu Ioan,SILAGHI,1962-12-12,M,ALDE
4293,DE,Gabriele,STAUNER,1948-04-22,F,PPE
119440,HR,Oleg,VALJALO,1970-11-19,M,S&D
96944,GB,Marina,YANNAKOUDAKIS,1956-04-16,F,ECR
117119,RO,Dan Dumitru,ZAMFIRESCU,1953-11-01,M,Array
118709,IT,Fabrizio,BERTOT,1967-02-23,M,PPE
96815,NL,Judith,SARGENTINI,1974-03-13,F,Verts/ALE
96696,LT,Algirdas,SAUDARGAS,1948-04-17,M,PPE
96945,NL,Marietje,SCHAAKE,1978-10-28,F,ALDE
96827,DE,Birgit,SCHNIEBER-JASTRAM,1946-07-04,F,PPE
96731,DE,Werner,SCHULZ,1950-01-22,M,Verts/ALE
96836,DE,Peter,SIMON,1967-04-04,M,S&D
96655,SK,Monika,SMOLKOVÁ,1956-10-06,F,S&D
96678,SE,Alf,SVENSSON,1938-10-01,M,PPE
96920,GB,Kay,SWINBURNE,1967-06-08,F,ECR
96847,RO,Claudiu Ciprian,TĂNĂSESCU,1965-07-19,M,S&D
97136,EE,Indrek,TARAND,1964-02-03,M,Verts/ALE
96974,PT,Nuno,TEIXEIRA,1973-01-13,M,PPE
96776,PL,Róża Gräfin von,THUN UND HOHENSTEIN,1954-04-13,F,PPE
97026,FR,Patrice,TIROLIEN,1946-03-17,M,S&D
96756,DE,Sabine,VERHEYEN,1964-10-24,F,PPE
96839,DE,Kerstin,WESTPHAL,1962-09-11,F,S&D
96741,DE,Sabine,WILS,1959-05-31,F,GUE/NGL
96764,DE,Hermann,WINKLER,1963-04-22,M,PPE
39725,RO,Iuliu,WINKLER,1964-03-14,M,PPE
96656,SK,Boris,ZALA,1954-12-09,M,S&D
96795,PL,Jacek Olgierd,KURSKI,1966-02-22,M,EFD
97344,IE,Paul,MURPHY,1983-04-13,M,GUE/NGL
96900,GR,Georgios,PAPANIKOLAOU,1977-08-15,M,PPE
96758,DE,Gerald,HÄFNER,1956-11-03,M,Verts/ALE
96872,DE,Nadja,HIRSCH,1978-07-13,F,ALDE
96693,LT,Juozas,IMBRASAS,1941-01-08,M,EFD
96812,ES,Juan Fernando,LÓPEZ AGUILAR,1961-06-10,M,S&D
34234,BG,Antonyia,PARVANOVA,1962-04-26,F,ALDE
96658,GR,Konstantinos,POUPAKIS,1951-01-18,M,PPE
108570,SE,Amelia,ANDERSDOTTER,1987-08-30,F,Verts/ALE
97193,IT,Antonello,ANTINORO,1960-08-03,M,PPE
97009,GR,Kriton,ARSENIS,1977-08-03,M,S&D
96732,FR,Malika,BENARAB-ATTOU,1963-03-25,F,Verts/ALE
96912,GB,David,CAMPBELL BANNERMAN,1960-05-28,M,ECR
96866,IT,Salvatore,CARONNA,1964-03-05,M,S&D
26851,GR,Nikolaos,CHOUNTIS,1953-09-17,M,GUE/NGL
111823,GR,Nikos,CHRYSOGELOS,1959-05-13,M,Verts/ALE
96775,IT,Lara,COMI,1983-02-18,F,PPE
96786,PL,Tadeusz,CYMAŃSKI,1955-06-06,M,EFD
96747,FR,Arnaud,DANJEAN,1971-02-11,M,PPE
109337,BE,Philippe,DE BACKER,1978-12-04,M,ALDE
28256,BE,Jean-Luc,DEHAENE,1940-08-07,M,PPE
96914,BE,Anne,DELVAUX,1970-10-20,F,PPE
107977,GR,Dimitrios,DROUTSAS,1968-08-05,M,S&D
23840,CZ,Richard,FALBR,1940-09-29,M,S&D
28126,SE,Christofer,FJELLNER,1976-12-13,M,PPE
96993,IT,Lorenzo,FONTANA,1980-04-10,M,EFD
96949,GB,Vicky,FORD,1967-09-21,F,ECR
96957,GB,Ashley,FOX,1969-11-15,M,ECR
96940,NL,Gerben-Jan,GERBRANDY,1967-06-28,M,ALDE
96956,GB,Julie,GIRLING,1956-12-21,F,ECR
96790,PL,Marek Józef,GRÓBARCZYK,1968-03-13,M,ECR
96768,ES,Enrique,GUERRERO SALOM,1948-08-28,M,S&D
96952,FR,Sylvie,GUILLAUME,1962-06-11,F,S&D
109649,SE,Mikael,GUSTAFSSON,1966-03-06,M,GUE/NGL
96907,CY,Takis,HADJIGEORGIOU,1956-12-11,M,GUE/NGL
28233,DE,Rebecca,HARMS,1956-12-07,F,Verts/ALE
28321,FI,Satu,HASSI,1951-06-03,F,Verts/ALE
110365,SE,Kent,JOHANSSON,1951-12-27,M,ALDE
96883,FR,Eva,JOLY,1943-12-05,F,Verts/ALE
28280,PL,Filip,KACZMAREK,1966-11-22,M,PPE
96807,BG,Ivailo,KALFIN,1964-05-30,M,S&D
96901,LV,Krišjānis,KARIŅŠ,1964-12-13,M,PPE
96734,DE,Franziska,KELLER,1981-11-22,F,Verts/ALE
97011,GR,Georgios,KOUMOUTSAKOS,1961-09-17,M,PPE
97968,BG,Andrey,KOVATCHEV,1967-12-13,M,PPE
96820,PT,Marisa,MATIAS,1976-02-20,F,GUE/NGL
96936,ES,Gabriel,MATO ADROVER,1961-04-29,M,PPE
96663,DK,Morten,MESSERSCHMIDT,1980-11-13,M,EFD
97020,IT,Guido,MILANA,1954-03-02,M,S&D
97280,IT,Claudio,MORGANTI,1973-04-14,M,EFD
28288,PL,Jan,OLBRYCHT,1952-09-21,M,PPE
96783,PL,Wojciech Michał,OLEJNICZAK,1974-04-10,M,S&D
97007,GR,Chrysoula,PALIADELI,1947-07-08,F,S&D
97050,CY,Antigoni,PAPADOPOULOU,1954-07-08,F,S&D
33984,RO,Ioan Mircea,PAŞCU,1949-02-17,M,S&D
96989,ES,Andrés,PERELLÓ RODRÍGUEZ,1957-07-01,M,S&D
96925,GR,Sylvana,RAPTI,1958-11-10,F,S&D
96885,FR,Dominique,RIQUET,1946-09-18,M,PPE
96710,DK,Jens,ROHDE,1970-04-18,M,ALDE
96819,IT,Licia,RONZULLI,1975-09-14,F,PPE
99416,GR,Nikolaos,SALAVRAKOS,1946-02-15,M,EFD
96770,PL,Joanna Katarzyna,SKRZYDLEWSKA,1977-02-17,F,PPE
97018,GR,Theodoros,SKYLAKAKIS,1959-10-18,M,ALDE
97008,GR,Georgios,STAVRAKAKIS,1954-10-13,M,S&D
39721,RO,Theodor Dumitru,STOLOJAN,1943-10-24,M,PPE
28320,CZ,Ivo,STREJČEK,1962-01-11,M,ECR
96703,DK,Emilie,TURUNEN,1984-05-13,F,S&D
96660,GR,Niki,TZAVELA,1947-06-30,F,EFD
97131,IT,Giommaria,UGGIAS,1961-03-29,M,ALDE
28221,DE,Thomas,ULMER,1956-07-25,M,PPE
96858,FR,Marie-Christine,VERGIAT,1956-09-23,F,GUE/NGL
96774,PL,Jarosław Leszek,WAŁĘSA,1976-09-13,M,PPE
96763,ES,Pablo,ZALBA BIDEGAIN,1975-01-28,M,PPE
96777,PL,Paweł,ZALEWSKI,1964-09-25,M,PPE
108329,IT,Andrea,ZANONI,1965-08-26,M,ALDE
96933,SI,Milan,ZVER,1962-05-25,M,PPE
96814,RO,Elena,BĂSESCU,1980-04-24,F,PPE
96878,HU,Lajos,BOKROS,1954-06-26,M,ECR
96739,DE,Reinhard,BÜTIKOFER,1953-01-26,M,Verts/ALE
99325,GR,Spyros,DANELLIS,1955-01-28,M,S&D
96859,RO,Ioan,ENCIU,1953-04-14,M,S&D
96852,DE,Cornelia,ERNST,1956-11-30,F,GUE/NGL
39321,ES,Vicente Miguel,GARCÉS RAMÓN,1946-11-10,M,S&D
96991,ES,Eider,GARDIAZÁBAL RUBIAL,1975-07-12,F,S&D
28266,NL,Sophia in 't,VELD,1963-09-13,F,ALDE
28314,FI,Anneli,JÄÄTTEENMÄKI,1955-02-11,F,ALDE
105849,FR,Agnès,LE BRUN,1961-12-28,F,PPE
96709,DK,Morten,LØKKEGAARD,1964-12-20,M,ALDE
96825,RO,Norica,NICOLAI,1958-01-27,F,ALDE
97229,IT,Niccolò,RINALDI,1962-12-03,M,ALDE
111018,ES,Salvador,SEDÓ i ALABART,1969-04-03,M,PPE
97019,SI,Ivo,VAJGL,1943-03-03,M,ALDE
111589,PT,Inês Cristina,ZUBER,1980-03-11,F,GUE/NGL
96803,PL,Zbigniew,ZIOBRO,1970-08-18,M,EFD
111019,ES,Eva,ORTIZ VILELLA,1975-10-16,F,PPE
111026,AT,Ewald,STADLER,1961-05-21,M,Array
112620,GB,Rebecca,TAYLOR,1975-08-10,F,ALDE
96908,FR,Gaston,FRANCO,1944-02-04,M,PPE
23785,PL,Andrzej,GRZYB,1956-08-23,M,PPE
96813,IT,Barbara,MATERA,1981-12-09,F,PPE
96997,DE,Burkhard,BALZ,1969-07-24,M,PPE
96779,PL,Danuta Maria,HÜBNER,1948-04-08,F,PPE
96871,DE,Michael,THEURER,1967-01-12,M,ALDE
33997,RO,Corina,CREŢU,1967-06-24,F,S&D
97296,FR,Michel,DANTIN,1960-01-15,M,PPE
96998,AT,Evelyn,REGNER,1966-01-24,F,S&D
96843,IT,Marco,SCURRIA,1967-05-18,M,PPE
101580,FR,Constance,LE GRIP,1960-11-14,F,PPE
105624,FR,Philippe,BOULLAND,1955-08-18,M,PPE
28324,CZ,Milan,CABRNOCH,1962-08-06,M,ECR
96826,HU,Tamás,DEUTSCH,1966-07-27,M,PPE
96896,FR,Marielle,GALLO,1949-05-19,F,PPE
96684,FI,Liisa,JAAKONSAARI,1945-09-02,F,S&D
4246,AT,Othmar,KARAS,1957-12-24,M,PPE
96800,PL,Marek Henryk,MIGALSKI,1969-01-14,M,ECR
96889,IT,Potito,SALATTO,1942-01-22,M,PPE
96918,GB,Derek,VAUGHAN,1961-05-02,M,S&D
112071,IE,Emer,COSTELLO,1962-09-03,F,S&D
111027,BG,Svetoslav Hristov,MALINOV,1968-01-19,M,PPE
96749,GB,Andrew Henry William,BRONS,1947-06-16,M,Array
4553,GB,Jacqueline,FOSTER,1947-12-30,F,ECR
96735,FR,Patrick,LE HYARIC,1957-02-04,M,GUE/NGL
96831,DE,Jutta,STEINRUCK,1962-09-01,F,S&D
4462,IT,Clemente,MASTELLA,1947-02-05,M,PPE
96999,LV,Alexander,MIRSKY,1964-03-20,M,S&D
96875,DE,Britta,REIMERS,1971-07-27,F,ALDE
96685,FI,Riikka,PAKARINEN,1981-08-24,F,ALDE
4556,GB,Nirj,DEVA,1948-05-11,M,ECR
96780,DE,Monika,HOHLMEIER,1962-07-02,F,PPE
28171,NL,Emine,BOZKURT,1967-08-09,F,S&D
28311,PT,Luis Manuel,CAPOULAS SANTOS,1951-08-22,M,S&D
96848,BG,Mariya,GABRIEL,1979-05-20,F,PPE
28177,FR,Bernadette,VERGNAUD,1950-09-16,F,S&D
96874,DE,Alexandra,THEIN,1963-10-05,F,ALDE
41007,IT,Iva,ZANICCHI,1940-01-18,F,PPE
96802,PL,Jacek,WŁOSOWICZ,1966-01-25,M,EFD
97086,IT,Sonia,ALFANO,1971-10-15,F,ALDE
96892,IT,Roberto,GUALTIERI,1966-07-19,M,S&D
96862,FR,Sophie,AUCONIE,1963-08-19,F,PPE
96736,DE,Jan Philipp,ALBRECHT,1982-12-20,M,Verts/ALE
96750,FR,François,ALFONSI,1953-09-14,M,Verts/ALE
28246,DE,Alexander,ALVARO,1975-05-26,M,ALDE
96954,GB,Marta,ANDREASEN,1954-11-26,F,ECR
96986,ES,Josefa,ANDRÉS BAREA,1958-02-17,F,S&D
28276,LT,Laima Liucija,ANDRIKIENĖ,1958-01-01,F,PPE
1941,IT,Roberta,ANGELILLI,1965-02-01,F,PPE
28422,IT,Alfredo,ANTONIOZZI,1956-03-18,M,PPE
97228,IT,Pino,ARLACCHI,1951-02-21,M,S&D
28132,GB,Richard,ASHWORTH,1947-09-17,M,ECR
4537,GB,Sir Robert,ATKINS,1946-02-05,M,ECR
23938,MT,John,ATTARD-MONTALTO,1953-02-07,M,S&D
33775,FR,Jean-Pierre,AUDY,1952-06-12,M,PPE
28161,DK,Margrete,AUKEN,1945-01-06,F,Verts/ALE
28292,ES,Inés,AYALA SENDER,1957-03-28,F,S&D
28114,IE,Liam,AYLWARD,1952-09-27,M,ALDE
4319,ES,Pilar,AYUSO,1942-06-16,F,PPE
96937,NL,Johannes Cornelis van,BAALEN,1960-06-17,M,ALDE
97293,LU,Georges,BACH,1955-06-12,M,PPE
28342,ES,Maria,BADIA i CUTCHET,1947-05-13,F,S&D
23813,HU,Zoltán,BAGÓ,1975-01-10,M,PPE
96680,LT,Zigmantas,BALČYTIS,1953-11-16,M,S&D
96757,IT,Raffaele,BALDASSARRE,1956-09-23,M,PPE
96979,IT,Francesca,BALZANI,1966-10-31,F,S&D
21818,IT,Paolo,BARTOLOZZI,1957-09-12,M,PPE
23866,SK,Edit,BAUER,1946-08-30,F,PPE
4507,NL,Bastiaan,BELDER,1946-10-25,M,EFD
28257,BE,Ivo,BELET,1959-06-07,M,PPE
28214,FR,Jean-Luc,BENNAHMIAS,1954-12-02,M,ALDE
1985,FR,Pervenche,BERÈS,1957-03-10,F,S&D
4746,IT,Sergio,BERLATO,1959-07-27,M,PPE
97156,IT,Luigi,BERLINGUER,1932-07-25,M,S&D
28174,NL,Thijs,BERMAN,1957-09-26,M,S&D
23788,PL,Adam,BIELAN,1974-09-12,M,ECR
38610,BG,Slavi,BINEV,1965-12-10,M,EFD
28513,GB,Godfrey,BLOOM,1949-11-22,M,Array
39722,RO,Sebastian Valentin,BODU,1970-12-07,M,PPE
1037,DE,Reimer,BÖGE,1951-12-18,M,PPE
29074,IT,Vito,BONSIGNORE,1943-07-03,M,PPE
21817,IT,Mario,BORGHEZIO,1947-12-03,M,Array
96916,IT,Rita,BORSELLINO,1945-06-02,F,S&D
39711,RO,Victor,BOŞTINARU,1952-05-17,M,S&D
33570,GB,Sharon,BOWLES,1953-06-12,F,ALDE
4540,GB,Philip,BRADBOURN,1951-08-09,M,ECR
111126,PL,Arkadiusz Tomasz,BRATKOWSKI,1959-05-13,M,PPE
28354,CZ,Jan,BŘEZINA,1954-04-14,M,PPE
1263,DE,Elmar,BROK,1946-05-14,M,PPE
96716,CZ,Zuzana,BRZOBOHATÁ,1962-07-11,F,S&D
4267,DE,Udo,BULLMANN,1956-06-08,M,S&D
28269,PL,Jerzy,BUZEK,1940-07-03,M,PPE
96849,FR,Alain,CADEC,1953-06-21,M,PPE
4536,GB,Martin,CALLANAN,1961-08-08,M,ECR
96754,NL,Wim van de,CAMP,1953-07-27,M,PPE
96733,IT,Antonio,CANCIAN,1951-07-02,M,PPE
96867,PT,Maria Da Graça,CARVALHO,1955-04-09,F,PPE
28122,MT,David,CASA,1968-11-16,M,PPE
4532,GB,Michael,CASHMAN,1950-12-17,M,S&D
988,IT,Carlo,CASINI,1935-03-04,M,PPE
28219,DE,Daniel,CASPARY,1976-04-04,M,PPE
28148,FR,Françoise,CASTEX,1956-02-07,F,S&D
28206,FR,Jean-Marie,CAVADA,1940-02-24,M,PPE
4337,ES,Alejandro,CERCAS,1949-05-25,M,S&D
28243,DE,Jorgo,CHATZIMARKAKIS,1966-04-21,M,ALDE
2097,GB,Giles,CHICHESTER,1946-07-29,M,ECR
28154,DK,Ole,CHRISTENSEN,1955-05-07,M,S&D
24030,BE,Philip,CLAEYS,1965-05-24,M,Array
1202,FR,Yves,COCHET,1946-02-15,M,Verts/ALE
1892,PT,Carlos,COELHO,1960-05-20,M,PPE
1934,FR,Daniel,COHN-BENDIT,1945-04-04,M,Verts/ALE
2315,FR,Jean Louis,COTTIGNY,1950-09-12,M,S&D
96880,IT,Andrea,COZZOLINO,1962-08-03,M,S&D
28238,DE,Michael,CRAMER,1949-06-16,M,Verts/ALE
96873,DE,Jürgen,CREUTZMANN,1945-10-04,M,ALDE
2109,IE,Brian,CROWLEY,1964-03-04,M,ALDE
96856,RO,George Sabin,CUTAŞ,1968-02-23,M,S&D
97125,BE,Frédéric,DAERDEN,1970-01-11,M,S&D
96809,NL,Peter van,DALEN,1958-09-03,M,ECR
95281,RO,Vasilica Viorica,DĂNCILĂ,1963-12-16,F,S&D
4342,FR,Joseph,DAUL,1947-04-13,M,PPE
96973,PT,Mário,DAVID,1953-08-20,M,PPE
4554,GB,Chris,DAVIES,1954-07-07,M,ALDE
96887,IT,Francesco,DE ANGELIS,1959-10-04,M,S&D
96891,IT,Paolo,DE CASTRO,1958-02-02,M,S&D
22097,BE,Véronique,DE KEYSER,1945-03-23,F,S&D
1746,IT,Luigi Ciriaco,DE MITA,1928-02-02,M,PPE
4335,FR,Marielle de,SARNEZ,1951-03-27,F,ALDE
4318,FR,Harlem,DÉSIR,1959-11-25,M,S&D
28228,DE,Albert,DESS,1947-04-17,M,PPE
4347,FR,Christine,DE VEYRAC,1959-11-06,F,PPE
28397,ES,Agustín,DÍAZ DE MERA GARCÍA CONSUEGRA,1947-09-27,M,PPE
4514,GB,Andrew,DUFF,1950-12-25,M,ALDE
96639,BE,Isabelle,DURANT,1954-09-04,F,Verts/ALE
28226,DE,Christian,EHLER,1963-08-17,M,PPE
25718,BE,Saïd,EL KHADRAOUI,1975-04-09,M,S&D
1419,GB,James,ELLES,1949-09-03,M,ECR
96876,LU,Frank,ENGEL,1975-05-10,M,PPE
97133,BE,Derk Jan,EPPINK,1958-11-07,M,ECR
28310,PT,Edite,ESTRELA,1949-10-28,F,S&D
4550,GB,Jill,EVANS,1959-05-08,F,Verts/ALE
23695,CZ,Hynek,FAJMON,1968-05-17,M,ECR
96911,SI,Tanja,FAJON,1971-05-09,F,S&D
4525,GB,Nigel,FARAGE,1964-04-03,M,EFD
4265,SE,Göran,FÄRM,1949-10-17,M,S&D
1917,DE,Markus,FERBER,1965-01-15,M,PPE
28308,PT,Elisa,FERREIRA,1955-10-17,F,S&D
96706,PT,João,FERREIRA,1978-11-20,M,GUE/NGL
96810,IT,Carlo,FIDANZA,1976-09-21,M,PPE
96729,ES,Santiago,FISAS AYXELA,1948-08-29,M,PPE
23868,SK,Monika,FLAŠÍKOVÁ BEŇOVÁ,1968-08-15,F,S&D
4385,FR,Hélène,FLAUTRE,1958-07-29,F,Verts/ALE
96840,DE,Knut,FLECKENSTEIN,1953-12-20,M,S&D
1038,DE,Karl-Heinz,FLORENZ,1947-10-22,M,PPE
1993,ES,Carmen,FRAGA ESTÉVEZ,1948-10-19,F,PPE
2341,DE,Michael,GAHLER,1960-04-22,M,PPE
2125,IE,Pat the Cope,GALLAGHER,1948-03-10,M,ALDE
102886,HU,Ildikó,GÁLL-PELCZ,1962-05-02,F,PPE
28298,ES,Iratxe,GARCÍA PÉREZ,1974-10-07,F,S&D
4562,IT,Giuseppe,GARGANI,1935-04-23,M,PPE
1665,ES,Salvador,GARRIGA POLLEDO,1957-08-06,M,PPE
28193,FR,Jean-Paul,GAUZÈS,1947-10-01,M,PPE
1913,DE,Evelyne,GEBHARDT,1954-01-19,F,S&D
28377,PL,Lidia Joanna,GERINGER de OEDENBERG,1957-09-12,F,S&D
1431,GR,Marietta,GIANNAKOU,1951-06-05,F,PPE
28379,PL,Adam,GIEREK,1938-04-17,M,S&D
1902,DE,Norbert,GLANTE,1952-08-08,M,S&D
28145,HU,Béla,GLATTFELDER,1967-05-04,M,PPE
4429,LU,Robert,GOEBBELS,1944-04-03,M,S&D
840,LU,Charles,GOERENS,1952-02-06,M,ALDE
1164,FR,Bruno,GOLLNISCH,1950-01-28,M,Array
28306,PT,Ana,GOMES,1954-02-09,F,S&D
96832,HU,Kinga,GÖNCZ,1947-11-08,F,S&D
28393,ES,Luis de,GRANDES PASCUAL,1945-01-27,M,PPE
28220,DE,Ingeborg,GRÄSSLE,1961-03-02,F,PPE
28208,FR,Nathalie,GRIESBECK,1956-05-24,F,ALDE
96751,GB,Nick,GRIFFIN,1959-03-01,M,Array
34728,DE,Matthias,GROOTE,1973-10-21,M,S&D
2247,BE,Mathieu,GROSCH,1950-09-14,M,PPE
2025,FR,Françoise,GROSSETÊTE,1946-05-17,F,PPE
4326,ES,Cristina,GUTIÉRREZ-CORTINES,1939-12-17,F,PPE
23816,HU,András,GYÜRK,1972-12-02,M,PPE
28477,GB,Fiona,HALL,1955-07-15,F,ALDE
96851,DE,Thomas,HÄNDEL,1953-08-27,M,GUE/NGL
28275,PL,Małgorzata,HANDZLIK,1965-01-01,F,PPE
96707,HU,Ágnes,HANKISS,1950-03-07,F,PPE
